hovedtype_rute;Central Norway;Eastern Norway;Northern Norway;Southern Norway;Western Norway;NA
V10;NA;NA;1;NA;NA;NA
V10;NA;NA;NA;2;NA;NA
V10;NA;NA;NA;NA;1;NA
V11;1;NA;NA;NA;NA;NA
V11;NA;NA;1;NA;NA;NA
V12;14;NA;NA;NA;NA;NA
V12;NA;1;NA;NA;NA;NA
V12;NA;NA;1;NA;NA;NA
V12;NA;NA;NA;5;NA;NA
V12;NA;NA;NA;NA;1;NA
V2;26;NA;NA;NA;NA;NA
V2;NA;49;NA;NA;NA;NA
V2;NA;NA;35;NA;NA;NA
V2;NA;NA;NA;16;NA;NA
V2;NA;NA;NA;NA;11;NA
V3;48;NA;NA;NA;NA;NA
V3;NA;23;NA;NA;NA;NA
V3;NA;NA;42;NA;NA;NA
V3;NA;NA;NA;1;NA;NA
V3;NA;NA;NA;NA;5;NA
V4;4;NA;NA;NA;NA;NA
V4;NA;1;NA;NA;NA;NA
V4;NA;NA;7;NA;NA;NA
V4;NA;NA;NA;2;NA;NA
V4;NA;NA;NA;NA;NA;1
V6;2;NA;NA;NA;NA;NA
V6;NA;NA;18;NA;NA;NA
V6;NA;NA;NA;NA;6;NA
V8;1;NA;NA;NA;NA;NA
V8;NA;1;NA;NA;NA;NA
V8;NA;NA;NA;1;NA;NA
V9;NA;1;NA;NA;NA;NA
V9;NA;NA;5;NA;NA;NA
V9;NA;NA;NA;4;NA;NA
V9;NA;NA;NA;NA;4;NA
ikk;22;NA;NA;NA;NA;NA
ikk;NA;16;NA;NA;NA;NA
ikk;NA;NA;30;NA;NA;NA
ikk;NA;NA;NA;9;NA;NA
ikk;NA;NA;NA;NA;49;NA
NA;56;NA;NA;NA;NA;NA
NA;NA;17;NA;NA;NA;NA
NA;NA;NA;34;NA;NA;NA
NA;NA;NA;NA;5;NA;NA
NA;NA;NA;NA;NA;19;NA
NA;NA;NA;NA;NA;NA;27
